Temps (s);Angle moteur (°);Angle vantail (°);Couple moteur (Nm);Couple vantail (Nm)
0;16,20000076;1,649999976;198;273
0,000788;16,20000076;1,980000019;198;275
0,001572;16,60000038;0,660000026;197;274
0,002356;16,60000038;0,660000026;199;272
0,003148;16,20000076;0,99000001;197;274
0,003936;16,20000076;0,99000001;196;273
0,004716;16,20000076;0,660000026;197;273
0,0055;16,60000038;0,660000026;192;272
0,006284;16,39999962;0,99000001;199;272
0,007072;16,39999962;0,99000001;200;270
0,007852;16,20000076;0,99000001;198;271
0,008636;16,20000076;1,649999976;199;273
0,009428;16,39999962;0,99000001;199;272
0,010212;16,39999962;1,320000052;200;269
0,010996;16,20000076;1,320000052;198;273
0,01178;16,39999962;1,649999976;198;273
0,012564;16,39999962;0,99000001;197;272
0,013356;16,39999962;1,320000052;199;272
0,014144;16,20000076;0,99000001;198;273
0,014924;16,20000076;0,660000026;200;272
0,015716;16,60000038;0,99000001;199;273
0,0165;16,39999962;1,320000052;200;272
0,017288;16,20000076;1,649999976;198;273
0,018068;16,20000076;0,99000001;197;273
0,018852;16,20000076;0,99000001;199;272
0,019644;16,20000076;1,320000052;200;273
0,020428;16,20000076;1,649999976;199;273
0,021212;16,39999962;1,980000019;197;275
0,021996;16,39999962;0,660000026;197;274
0,02278;16,79999924;0,660000026;197;273
0,023564;16,60000038;1,320000052;200;272
0,024348;16,39999962;0,99000001;198;272
0,025132;16,20000076;0,99000001;204;271
0,025916;16,20000076;0,99000001;196;273
0,0267;16,20000076;0,99000001;196;272
0,027488;16,60000038;0,660000026;199;274
0,028268;16,60000038;1,320000052;197;274
0,029052;16,39999962;0,99000001;198;272
0,029836;16,20000076;0,99000001;200;271
0,030624;16,20000076;0,99000001;198;273
0,031404;16,60000038;1,320000052;198;274
0,032188;16,20000076;0,99000001;198;272
0,03298;16,39999962;0,99000001;200;281
0,033764;16;1,320000052;198;273
0,034548;16,20000076;0,99000001;198;274
0,035332;16,39999962;1,320000052;197;274
0,036116;16,39999962;1,320000052;197;273
0,036908;16,20000076;0,99000001;198;273
0,037696;16,20000076;1,320000052;197;275
0,038476;16,20000076;1,320000052;200;272
0,039268;16,39999962;0,99000001;199;271
0,040052;16,20000076;1,649999976;199;273
0,04084;16,20000076;1,649999976;197;273
0,04162;16,20000076;1,320000052;197;275
0,042404;16,60000038;0,660000026;198;273
0,043196;16,20000076;0,99000001;198;272
0,04398;16,20000076;1,649999976;198;271
0,044764;16,20000076;0,99000001;197;274
0,045548;16,60000038;0,660000026;197;274
0,046332;16,60000038;0,660000026;200;273
0,047116;16,39999962;0,99000001;199;272
0,0479;16,20000076;0,99000001;199;272
0,048684;16,20000076;1,320000052;198;272
0,049468;16,20000076;1,980000019;196;273
0,050252;16,39999962;1,320000052;197;273
0,05104;16,60000038;0,660000026;200;274
0,05182;16,39999962;0,330000013;206;272
0,052604;16,39999962;1,320000052;199;272
0,053388;16,20000076;0,99000001;198;271
0,054176;16,20000076;1,980000019;197;273
0,054956;16,20000076;0,99000001;199;275
0,05574;16,60000038;1,320000052;200;272
0,056532;16,20000076;1,649999976;199;277
0,057316;16,20000076;0,99000001;198;273
0,0581;16,20000076;0,99000001;198;275
0,058884;16,60000038;0,660000026;199;274
0,059668;16,39999962;0,660000026;199;273
0,06046;16,60000038;1,320000052;196;273
0,061248;16,39999962;1,320000052;199;274
0,062028;16,60000038;1,320000052;187;272
0,06282;16,20000076;0,99000001;198;273
0,063604;16,20000076;0,99000001;196;273
0,064392;16,20000076;0,99000001;197;273
0,065172;16,20000076;0,660000026;197;273
0,065956;16,79999924;0,660000026;196;271
0,066748;16,20000076;1,320000052;197;273
0,067532;16,20000076;0,99000001;197;274
0,068316;16,60000038;0,660000026;199;275
0,0691;16,60000038;0,660000026;199;273
0,069884;16,39999962;0,99000001;198;272
0,070668;16,20000076;0,99000001;198;272
0,071452;16,20000076;1,320000052;198;273
0,072236;16,20000076;0,99000001;196;273
0,07302;16,39999962;0,660000026;197;274
0,073804;16,60000038;0,660000026;197;274
0,074592;16,39999962;0,330000013;200;273
0,075372;16,79999924;0,99000001;200;272
0,076156;16,20000076;0,99000001;198;273
0,07694;16,20000076;0,99000001;198;274
0,077728;16,20000076;0,99000001;197;274
0,078508;16,20000076;0,660000026;199;284
0,079292;16,60000038;0,99000001;198;273
0,080084;16,20000076;1,649999976;196;273
0,080868;16,39999962;1,320000052;198;273
0,081652;16,39999962;0,99000001;197;275
0,082436;16,60000038;1,320000052;197;274
0,08322;17,20000076;0,99000001;199;273
0,084012;16,20000076;0,99000001;196;272
0,0848;16,60000038;0,660000026;197;274
0,08558;16,60000038;1,649999976;198;272
0,086372;16,20000076;0,99000001;197;273
0,087156;16,20000076;1,320000052;197;274
0,087944;16,60000038;0,660000026;197;273
0,088724;16,60000038;0,660000026;197;270
0,089508;16,60000038;0,99000001;198;273
0,0903;16,20000076;1,320000052;196;273
0,091084;16,39999962;0,660000026;203;274
0,091868;16,60000038;0,660000026;198;274
0,092652;16,39999962;0,99000001;199;273
0,093436;16,39999962;1,649999976;198;273
0,09422;16;0,99000001;197;275
0,095004;16,20000076;0,99000001;197;273
0,095788;16,20000076;0,99000001;197;275
0,096572;16,60000038;0,660000026;199;275
0,097356;16,60000038;0,330000013;199;274
0,098144;16,39999962;0,99000001;200;271
0,098924;16;0,99000001;198;272
0,099708;16,20000076;1,649999976;198;275
0,100492;16,20000076;1,320000052;196;273
0,10128;16,39999962;0,99000001;205;274
0,10206;16,60000038;1,320000052;197;274
0,102844;16,60000038;1,320000052;198;273
0,103636;16,20000076;0,99000001;196;273
0,10442;16,20000076;0,660000026;196;274
0,105204;16,60000038;1,320000052;197;272
0,105988;16,39999962;1,320000052;197;273
0,106772;16,39999962;1,320000052;198;275
0,107564;16,20000076;0,99000001;197;274
0,108352;16,60000038;1,320000052;197;274
0,109132;16,60000038;0,99000001;198;273
0,109924;16,20000076;0,99000001;199;273
0,110708;16,39999962;1,980000019;197;275
0,111496;16,60000038;0,660000026;197;274
0,112276;16,39999962;0,99000001;199;273
0,11306;16,39999962;1,649999976;196;274
0,113852;16,39999962;1,320000052;197;275
0,114636;16,60000038;0,660000026;197;274
0,11542;16,60000038;0,99000001;200;274
0,116204;16;0,99000001;200;272
0,116988;16;0,99000001;198;273
0,117772;16,20000076;1,320000052;195;273
0,118556;16,20000076;0,99000001;197;274
0,11934;16,39999962;0,99000001;196;274
0,120124;16,60000038;1,320000052;198;274
0,120908;16,39999962;0,99000001;200;274
0,121696;16,39999962;1,320000052;200;273
0,122476;16,20000076;1,649999976;196;273
0,12326;16,60000038;0,99000001;198;273
0,124044;16,20000076;0,99000001;197;274
0,124832;16,60000038;0,660000026;196;272
0,125612;16,60000038;0,99000001;199;272
0,126396;16,39999962;0,99000001;197;273
0,127188;16,39999962;0,99000001;196;274
0,127972;16,39999962;0,660000026;197;274
0,128756;16,79999924;1,320000052;198;275
0,12954;16,39999962;1,320000052;200;273
0,130324;16,20000076;1,320000052;198;274
0,131116;16,60000038;0,660000026;197;274
0,131904;16,60000038;0,99000001;199;271
0,132684;16,39999962;0,99000001;195;273
0,133476;16,39999962;0,660000026;196;274
0,13426;16,60000038;0,660000026;200;274
0,135048;16,39999962;0,330000013;198;273
0,135828;16,39999962;0,99000001;200;272
0,136612;16,20000076;1,320000052;199;275
0,137404;16,60000038;0,660000026;198;274
0,138188;16,60000038;0,99000001;202;273
0,138972;16,39999962;0,99000001;199;278
