Temps (s),Consigne fleche (deg),Consigne balancier (deg),Consigne godet (deg),Gamma 1 (deg),Gamma 2 (deg),Gamma 3 (deg),Gamma 5 (deg),Vitesse axe fleche (deg/s),Vitesse axe balancier (deg/s),Vitesse axe godet (deg/s),Vitesse axe triangle (deg/s),Consigne X (mm),Consigne Y (mm),Consigne gamma (deg),X (mm),Y (mm),Gamma (deg),Consigne vitesse verin 1 (mm/s),Consigne vitesse verin 2 (mm/s),Consigne vitesse verin 3 (mm/s),Vitesse verin 1 (mm/s),Vitesse verin 2 (mm/s),Vitesse verin 3 (mm/s),Longueur verin 1 (mm),Longueur verin 2 (mm),Longueur verin 3 (mm),Force verin 1 (N),Force verin 2 (N),Force verin 3 (N),Courant verin 1 (A),Courant verin 2 (A),Courant verin 3 (A),Tension verin 1 (V),Tension verin 2 (V),Tension verin 3 (V),Puissance verin 1 (W),Puissance verin 2 (W),Puissance verin 3 (W),Energie verin 1 (J),Energie verin 2 (J),Energie verin 3 (J),Puissance mecanique verin 1 (W),Puissance mecanique verin 2 (W),Puissance mecanique verin 3 (W),Angle moteur verin 1 (rad),Angle moteur verin 2 (rad),Angle moteur verin 3 (rad),Vitesse moteur verin 1 (rad/s),Vitesse moteur verin 2 (rad/s),Vitesse moteur verin 3 (rad/s),Butee fleche,Butee balancier,Butee godet,Butee sol
0.118,30.428,-63.421,72.000,78.393,-79.488,70.323,77.342,-1.403,3.789,0.001,0.001,700.0,100.0,35.0,404.5,503.6,10.8,10.000,-10.000,-2.516,2.257,-2.246,-0.436,2.2,11.6,0.1,-58.3,-112.6,-7.1,0.265,-0.295,-0.137,18.78,-18.85,-6.74,4.28,4.76,0.95,0.25,0.28,0.07,0.10,0.20,0.00,97.563,523.076,2.320,101.541,-101.043,-19.595,0,0,0,0
0.126,30.428,-63.421,72.000,78.272,-79.158,70.323,77.342,-1.708,4.622,-0.000,-0.000,700.0,100.0,35.0,405.6,504.5,11.0,10.000,-10.000,-2.515,2.753,-2.741,-0.556,2.4,11.4,0.1,-60.5,-114.1,-7.6,0.294,-0.330,-0.138,19.00,-19.08,-6.90,4.97,5.56,0.93,0.35,0.39,0.09,0.13,0.25,0.00,106.329,514.349,2.314,123.837,-123.325,-25.002,0,0,0,0
0.150,30.428,-63.421,72.000,78.150,-78.822,70.323,77.343,-2.017,5.467,-0.001,-0.001,700.0,100.0,35.0,406.7,505.4,11.3,10.000,-10.000,-2.516,3.254,-3.243,-0.678,2.6,11.2,0.1,-61.1,-114.1,-7.5,0.324,-0.364,-0.138,19.11,-19.19,-6.98,5.60,6.30,0.95,0.46,0.52,0.11,0.17,0.31,0.00,115.227,505.485,2.324,146.400,-145.882,-30.508,0,0,0,0
0.166,30.428,-63.421,72.000,78.026,-78.483,70.322,77.343,-2.327,6.317,-0.003,-0.002,700.0,100.0,35.0,407.8,506.3,11.5,10.000,-10.000,-2.517,3.759,-3.747,-0.802,2.8,11.0,0.1,-61.7,-114.1,-7.5,0.352,-0.398,-0.139,19.16,-19.23,-7.04,6.19,6.99,0.97,0.59,0.66,0.13,0.20,0.37,0.01,124.202,496.549,2.335,169.093,-168.567,-36.075,0,0,0,0
0.197,30.428,-63.421,72.000,77.901,-78.142,70.322,77.343,-2.638,7.171,-0.004,-0.003,700.0,100.0,35.0,409.0,507.2,11.7,10.000,-10.000,-2.517,4.264,-4.252,-0.926,3.0,10.8,0.1,-62.3,-114.2,-7.5,0.380,-0.431,-0.139,19.16,-19.24,-7.07,6.74,7.65,0.98,0.72,0.81,0.15,0.23,0.43,0.01,133.208,487.582,2.345,191.824,-191.291,-41.681,0,0,0,0
0.213,30.428,-63.421,72.000,77.777,-77.800,70.321,77.343,-2.949,8.026,-0.005,-0.004,700.0,100.0,35.0,410.1,508.1,11.9,10.000,-10.000,-2.518,4.769,-4.757,-1.052,3.2,10.6,0.1,-62.8,-114.4,-7.5,0.408,-0.464,-0.139,19.15,-19.23,-7.09,7.28,8.29,0.98,0.87,0.97,0.17,0.27,0.49,0.01,142.219,478.610,2.355,214.545,-214.007,-47.311,0,0,0,0
0.229,30.428,-63.421,72.000,77.653,-77.458,70.321,77.343,-3.259,8.882,-0.006,-0.004,700.0,100.0,35.0,411.2,509.0,12.1,10.000,-10.000,-2.519,5.273,-5.261,-1.177,3.4,10.4,0.1,-63.3,-114.5,-7.4,0.436,-0.497,-0.140,19.13,-19.21,-7.11,7.81,8.92,0.99,1.02,1.15,0.19,0.30,0.54,0.01,151.222,469.645,2.365,237.233,-236.691,-52.956,0,0,0,0
0.245,30.428,-63.421,72.000,77.529,-77.116,70.323,77.343,-3.570,9.738,0.040,0.031,700.0,100.0,35.0,412.3,509.9,12.3,10.000,-10.000,-2.516,5.777,-5.765,-1.281,3.6,10.2,0.1,-62.2,-112.8,-6.7,0.463,-0.530,-0.123,19.11,-19.19,-7.12,8.34,9.55,0.99,1.19,1.34,0.21,0.33,0.60,0.01,160.211,460.693,2.327,259.882,-259.337,-57.635,0,0,0,0
0.276,30.428,-63.421,72.000,77.405,-76.773,70.323,77.343,-3.879,10.595,0.035,0.027,700.0,100.0,35.0,413.3,510.8,12.6,10.000,-10.000,-2.516,6.279,-6.267,-1.407,3.8,10.0,0.1,-64.1,-114.9,-7.4,0.491,-0.563,-0.125,19.09,-19.17,-7.18,8.86,10.17,0.88,1.37,1.55,0.23,0.36,0.65,0.01,169.186,451.754,2.321,282.492,-281.947,-63.290,0,0,0,0
0.291,30.428,-63.421,72.000,77.281,-76.430,70.321,77.343,-4.188,11.452,0.030,0.023,700.0,100.0,35.0,414.4,511.7,12.8,10.000,-10.000,-2.519,6.781,-6.769,-1.533,4.0,9.8,0.1,-64.6,-115.0,-7.3,0.519,-0.596,-0.127,19.07,-19.16,-7.19,9.38,10.79,0.90,1.56,1.76,0.24,0.40,0.72,0.01,178.147,442.828,2.371,305.069,-304.525,-68.966,0,0,0,0
