Temps (s),Consigne flèche (deg),Consigne balancier (deg),Consigne godet (deg),Gamma 1 (deg),Gamma 2 (deg),Gamma 3 (deg),Gamma 5 (deg),Vitesse axe flèche (deg/s),Vitesse axe balancier (deg/s),Vitesse axe godet (deg/s),Vitesse axe triangle (deg/s),Consigne X (mm),Consigne Y (mm),Consigne gamma (deg),X (mm),Y (mm),Gamma (deg),Consigne vitesse vérin 1 (mm/s),Consigne vitesse vérin 2 (mm/s),Consigne vitesse vérin 3 (mm/s),Vitesse vérin 1 (mm/s),Vitesse vérin 2 (mm/s),Vitesse vérin 3 (mm/s),Longueur vérin 1 (mm),Longueur vérin 2 (mm),Longueur vérin 3 (mm),Force vérin 1 (N),Force vérin 2 (N),Force vérin 3 (N),Courant vérin 1 (A),Courant vérin 2 (A),Courant vérin 3 (A),Tension vérin 1 (V),Tension vérin 2 (V),Tension vérin 3 (V),Puissance vérin 1 (W),Puissance vérin 2 (W),Puissance vérin 3 (W),Energie vérin 1 (J),Energie vérin 2 (J),Energie vérin 3 (J),Puissance mécanique vérin 1 (W),Puissance mécanique vérin 2 (W),Puissance mécanique vérin 3 (W),Angle moteur vérin 1 (rad),Angle moteur vérin 2 (rad),Angle moteur vérin 3 (rad),Vitesse moteur vérin 1 (rad/s),Vitesse moteur vérin 2 (rad/s),Vitesse moteur vérin 3 (rad/s),Butée flèche,Butée balancier,Butée godet,Butée sol
0.130,78.406,-81.256,72.000,78.884,-80.842,70.336,77.284,-0.058,0.000,0.317,0.245,404.1,494.5,35.0,400.0,500.0,10.0,2.866,0.828,-2.496,0.236,0.069,-0.610,1.4,12.4,0.0,-52.8,-110.6,-7.3,0.260,0.045,-0.127,6.40,3.98,-6.85,1.26,0.07,0.84,0.05,0.00,0.09,0.01,0.01,0.00,61.988,559.076,2.004,10.639,3.119,-27.423,0,0,0,0
0.136,78.335,-81.313,72.000,78.857,-80.842,70.335,77.288,-0.136,0.000,0.313,0.242,404.7,493.7,35.0,400.3,499.8,10.0,3.130,0.941,-2.498,0.361,0.090,-0.730,1.4,12.4,0.0,-55.3,-111.6,-7.5,0.294,0.081,-0.128,6.95,4.20,-6.93,1.67,0.18,0.87,0.08,0.00,0.11,0.01,0.01,0.00,63.974,559.076,2.040,16.221,4.056,-32.836,0,0,0,0
0.161,78.263,-81.369,72.000,78.823,-80.842,70.333,77.291,-0.227,0.000,0.309,0.239,405.3,492.9,35.0,400.6,499.6,9.9,3.355,1.054,-2.500,0.505,0.115,-0.852,1.5,12.4,0.0,-56.7,-112.1,-7.6,0.326,0.126,-0.129,7.41,4.42,-6.98,2.05,0.34,0.89,0.12,0.01,0.13,0.02,0.01,0.01,66.436,559.076,2.075,22.719,5.168,-38.311,0,0,0,0
0.177,78.192,-81.425,72.000,78.784,-80.842,70.332,77.294,-0.328,0.000,0.306,0.236,405.9,492.1,35.0,400.9,499.3,9.9,3.556,1.166,-2.503,0.665,0.144,-0.974,1.5,12.4,0.0,-57.3,-112.3,-7.6,0.357,0.178,-0.131,7.80,4.65,-7.02,2.41,0.56,0.90,0.17,0.02,0.15,0.03,0.01,0.01,69.209,559.076,2.109,29.895,6.476,-43.829,0,0,0,0
0.208,78.120,-81.481,72.000,78.743,-80.842,70.330,77.297,-0.436,0.000,0.302,0.234,406.5,491.3,35.0,401.3,499.0,9.8,3.737,1.277,-2.505,0.836,0.178,-1.098,1.6,12.4,0.0,-57.9,-112.5,-7.6,0.386,0.239,-0.132,8.14,4.89,-7.05,2.78,0.83,0.92,0.23,0.04,0.16,0.04,0.02,0.01,72.229,559.076,2.142,37.632,8.000,-49.380,0,0,0,0
0.214,78.048,-81.536,72.000,78.698,-80.842,70.329,77.300,-0.549,0.000,0.299,0.231,407.1,490.5,35.0,401.7,498.7,9.8,3.903,1.387,-2.507,1.019,0.217,-1.222,1.7,12.4,0.0,-58.3,-112.6,-7.6,0.416,0.307,-0.133,8.44,5.14,-7.07,3.15,1.17,0.93,0.29,0.06,0.18,0.05,0.02,0.01,75.444,559.076,2.175,45.826,9.752,-54.954,0,0,0,0
0.240,77.976,-81.591,72.000,78.652,-80.842,70.328,77.302,-0.668,0.000,0.296,0.229,407.7,489.7,35.0,402.1,498.4,9.7,4.058,1.497,-2.509,1.210,0.261,-1.346,1.8,12.4,0.0,-58.5,-112.7,-7.7,0.445,0.381,-0.134,8.72,5.39,-7.09,3.51,1.58,0.94,0.36,0.09,0.20,0.06,0.02,0.01,78.817,559.076,2.207,54.416,11.746,-60.547,0,0,0,0
0.256,77.903,-81.645,72.000,78.603,-80.842,70.326,77.304,-0.792,0.000,0.293,0.226,408.3,488.9,35.0,402.5,498.0,9.7,4.201,1.606,-2.511,1.408,0.311,-1.471,1.8,12.4,0.0,-58.8,-112.7,-7.7,0.474,0.462,-0.135,8.97,5.66,-7.10,3.88,2.05,0.95,0.44,0.14,0.22,0.07,0.03,0.01,82.333,559.076,2.239,63.362,13.980,-66.155,0,0,0,0
0.288,77.831,-81.699,72.000,78.553,-80.876,70.325,77.307,-0.920,-0.136,0.289,0.224,408.9,488.1,35.0,402.9,497.5,9.6,4.335,1.647,-2.513,1.614,0.391,-1.595,1.9,12.4,0.1,-57.9,-110.6,-7.4,0.503,0.493,-0.137,9.21,5.86,-7.11,4.25,2.61,0.96,0.52,0.19,0.24,0.08,0.04,0.01,85.976,559.969,2.270,72.631,17.585,-71.774,0,0,0,0
0.295,77.758,-81.753,72.000,78.501,-80.934,70.324,77.309,-1.051,-0.288,0.286,0.221,409.5,487.3,35.0,403.4,496.8,9.5,4.461,1.637,-2.514,1.827,0.481,-1.721,2.0,12.5,0.1,-59.3,-112.5,-7.7,0.532,0.519,-0.138,9.43,5.90,-7.12,4.63,2.89,0.97,0.61,0.25,0.26,0.09,0.04,0.01,89.734,561.529,2.300,82.200,21.618,-77.402,0,0,0,0
